"","OUT","EXPO","Estimate","Std. Error","t value","Pr(>|t|)","AIC","BIC","Lower","Upper"
"417","Lan-Sem","age",-0.0100309787048441,0.0147409750015366,-0.680482715953219,0.496741775169404,1570.80079162515,1600.35064873557,-0.0389227588048611,0.0188608013951728
"517","Lan-Sem","edu_co",0.286273769719419,0.0532864839263759,5.37235239831087,1.59748249419818e-07,1570.80079162515,1600.35064873557,0.18183418036095,0.390713359077889
"617","Lan-Sem","p1ex",-0.0504604042067054,0.394748618080991,-0.127829210528997,0.898372728790831,1570.80079162515,1600.35064873557,-0.824153478592404,0.723232670178994
"717","Lan-Sem","dri_gr_2",-0.162561487054628,0.407433055191742,-0.398989441291467,0.690194625404282,1570.80079162515,1600.35064873557,-0.961115601341562,0.635992627232305
"218","Com-Tra-t","score_dcv_year",0.107424621458216,0.106812576842142,1.00573008005395,0.315420010094533,2907.21028356689,2936.43019700904,-0.101924182248298,0.316773425164731
"318","Com-Tra-t","sex",6.87324785110767,4.79640728899537,1.43299920898655,0.152981656829919,2907.21028356689,2936.43019700904,-2.52753769050866,16.274033392724
"418","Com-Tra-t","age",0.545522380338022,0.177999684213649,3.06473791090126,0.00239270546314775,2907.21028356689,2936.43019700904,0.196649410019767,0.894395350656277
"518","Com-Tra-t","edu_co",-5.12243624847691,0.648529620204083,-7.89853861549909,6.5964286126276e-14,2907.21028356689,2936.43019700904,-6.39353094698435,-3.85134154996947
"618","Com-Tra-t","p1ex",-6.5750517240683,4.67798265775421,-1.40553144487817,0.160979875810462,2907.21028356689,2936.43019700904,-15.7437292535695,2.59362580543291
"718","Com-Tra-t","dri_gr_2",3.50723742907017,4.87436376547736,0.719527224026682,0.472420569614843,2907.21028356689,2936.43019700904,-6.0463399988125,13.0608148569528
"219","Com-Tra-t","score_chp_year",5.25849294932463,2.80106368872214,1.87732002328144,0.0615212887718612,2904.65500182341,2933.87491526556,-0.231490998973674,10.7484768976229
"319","Com-Tra-t","sex",7.31089973740189,4.78288405973402,1.5285546641096,0.127511875580198,2904.65500182341,2933.87491526556,-2.0633807619075,16.6851802367113
"419","Com-Tra-t","age",0.550326248988866,0.177207666329705,3.10554424866107,0.00209555539272096,2904.65500182341,2933.87491526556,0.203005605198253,0.89764689277948
"519","Com-Tra-t","edu_co",-5.15171429040746,0.64379585974617,-8.00209291876874,3.33850305028887e-14,2904.65500182341,2933.87491526556,-6.41353098890595,-3.88989759190897
"619","Com-Tra-t","p1ex",-6.64505215905484,4.65189968355098,-1.42845990049003,0.154282058267438,2904.65500182341,2933.87491526556,-15.762607998508,2.47250368039835
"719","Com-Tra-t","dri_gr_2",3.72516486171784,4.84106068841377,0.769493526621834,0.442253696503958,2904.65500182341,2933.87491526556,-5.76313973454583,13.2134694579815
"220","Com-Tra-t","score_cyp_year",-0.105139501037304,0.0517216764601132,-2.03279375753386,0.0430235023923465,2904.04024003251,2933.26015347466,-0.206512124119159,-0.00376687795544906
"320","Com-Tra-t","sex",4.66042013634552,4.87474354855226,0.956033910282236,0.339885716253143,2904.04024003251,2933.26015347466,-4.89390165268589,14.2147419253769
"420","Com-Tra-t","age",0.521831138025283,0.177166413313223,2.9454292620504,0.00349795938315619,2904.04024003251,2933.26015347466,0.174591348661228,0.869070927389339
"520","Com-Tra-t","edu_co",-5.40202782492912,0.652812376506574,-8.27500828620506,5.41014835925411e-15,2904.04024003251,2933.26015347466,-6.68151657154401,-4.12253907831423
"620","Com-Tra-t","p1ex",-5.85074832301941,4.64755881962935,-1.25888634228969,0.209127466935085,2904.04024003251,2933.26015347466,-14.9597962255244,3.25829957948561
"720","Com-Tra-t","dri_gr_2",4.00444071944028,4.83596317362733,0.828054427973787,0.40834996870332,2904.04024003251,2933.26015347466,-5.4738729314313,13.4827543703119
"221","Com-Tra-t","score_dmt_year",0.0576772327339113,0.111745994023834,0.516145864894354,0.606162821287321,2907.9723800438,2937.19229348595,-0.161340890969432,0.276695356437255
"321","Com-Tra-t","sex",7.10912677308053,4.85747886964699,1.46354250092645,0.144448740209519,2907.9723800438,2937.19229348595,-2.41135686709189,16.6296104132529
"421","Com-Tra-t","age",0.54236616324991,0.178208006677796,3.04344441846836,0.00256272439675617,2907.9723800438,2937.19229348595,0.193084888404756,0.891647438095064
"521","Com-Tra-t","edu_co",-5.17913842801556,0.647569273503849,-7.99781373194627,3.43414848133402e-14,2907.9723800438,2937.19229348595,-6.44835088157787,-3.90992597445324
"621","Com-Tra-t","p1ex",-6.3130331385457,4.6754075595303,-1.35026370603292,0.178029643434649,2907.9723800438,2937.19229348595,-15.4766635682714,2.85059729117999
"721","Com-Tra-t","dri_gr_2",3.88563615869626,4.86930272954197,0.797986154182236,0.425559635306816,2907.9723800438,2937.19229348595,-5.65802182102858,13.4292941384211
"222","Com-Tra-t","score_lch_year",0.14486151533617,0.20337467513017,0.712288859187854,0.476883280740431,2907.72570738958,2936.94562083173,-0.253745523286498,0.543468553958838
"322","Com-Tra-t","sex",7.12404974483671,4.83086290051145,1.47469507861266,0.141426096866965,2907.72570738958,2936.94562083173,-2.34426755441643,16.5923670440898
"422","Com-Tra-t","age",0.543926423018351,0.178158451583242,3.05304866642382,0.00248470853546863,2907.72570738958,2936.94562083173,0.194742274373773,0.893110571662929
